iter	MultiClass
0	2.089546261
1	1.872205771
2	1.733536772
3	1.634305969
4	1.55865648
5	1.496077725
6	1.446976354
7	1.405064292
8	1.366598138
9	1.335278149
10	1.30536
11	1.280560517
12	1.257740456
13	1.239369713
14	1.220402349
15	1.201762743
16	1.187346051
17	1.171644898
18	1.154315776
19	1.141265176
20	1.128400506
21	1.115693757
22	1.102275952
23	1.092833428
24	1.08106674
25	1.071583127
26	1.061622874
27	1.052302592
28	1.038665369
29	1.032290457
30	1.021192433
31	1.012690519
32	1.00180486
33	0.9929693663
34	0.9841438026
35	0.9729221681
36	0.9641668675
37	0.9544479477
38	0.9472120716
39	0.9381655143
40	0.9294637672
41	0.9220033365
42	0.916362695
43	0.9102344572
44	0.9018461551
45	0.8946393156
46	0.8851889162
47	0.8777647813
48	0.871399662
49	0.8635141595
50	0.8555794864
51	0.8503438514
52	0.8443633306
53	0.8388353431
54	0.8313148531
55	0.8260155976
56	0.8208288591
57	0.8147793078
58	0.8089914287
59	0.8033216137
60	0.7976174203
61	0.7914309038
62	0.7844796415
63	0.7774733876
64	0.7705426702
65	0.764427581
66	0.7585831352
67	0.7529618059
68	0.7468941751
69	0.7404294136
70	0.7347414506
71	0.7291421042
72	0.7246556008
73	0.7199916588
74	0.7146100187
75	0.7079908973
76	0.7021033074
77	0.6963874721
78	0.6912951027
79	0.6858244352
80	0.6808567727
81	0.6770438645
82	0.6722362459
83	0.667228795
84	0.6639663504
85	0.6600868771
86	0.6549139036
87	0.6504304819
88	0.6457516107
89	0.6408205179
90	0.6369720673
91	0.633325435
92	0.6298187812
93	0.6265988643
94	0.6229539441
95	0.6195417278
96	0.616191283
97	0.6118324312
98	0.6087183199
99	0.6052311152
100	0.6014097152
101	0.5963627498
102	0.5918937779
103	0.5876846292
104	0.5837177721
105	0.5800413498
106	0.5761287994
107	0.5722065587
108	0.5690715603
109	0.5649079525
110	0.5604141214
111	0.5564339444
112	0.5534220435
113	0.5506608918
114	0.5474774761
115	0.5438928206
116	0.5408727702
117	0.5375863224
118	0.5345573008
119	0.5326791643
120	0.5292463006
121	0.5260813752
122	0.5225464381
123	0.5193700419
124	0.5169263072
125	0.5147455459
126	0.5117561758
127	0.5087147931
128	0.5058040068
129	0.5027524544
130	0.5003433377
131	0.4977397988
132	0.4948447635
133	0.4924713948
134	0.4894988029
135	0.4864351976
136	0.4841884875
137	0.4811893586
138	0.4791708669
139	0.4760440864
140	0.473379461
141	0.4706742253
142	0.4684977784
143	0.4659393011
144	0.4635912367
145	0.4609892729
146	0.4584319255
147	0.4550470681
148	0.4524291479
149	0.4506726023
150	0.4479843503
151	0.4457608559
152	0.4436183421
153	0.4417120935
154	0.4395099314
155	0.4366625257
156	0.4347514833
157	0.4331541257
158	0.4304308791
159	0.4280205297
160	0.4256340123
161	0.4236610958
162	0.4215744297
163	0.4190793673
164	0.4170685799
165	0.4155345687
166	0.413626471
167	0.4116834814
168	0.4097269323
169	0.4070446041
170	0.4047934769
171	0.4025181753
172	0.4001886697
173	0.3978221834
174	0.3949361879
175	0.3934263168
176	0.3916397758
177	0.3894321008
178	0.3874185057
179	0.3851272818
180	0.383953866
181	0.3816441176
182	0.3799907411
183	0.3785378819
184	0.3768519761
185	0.3753878515
186	0.3737346804
187	0.3714827314
188	0.3693652481
189	0.3677987761
190	0.3659385478
191	0.3644548028
192	0.3627905719
193	0.3612724144
194	0.3592509437
195	0.3575696948
196	0.3556334508
197	0.3539367933
198	0.3523050231
199	0.3511574252
200	0.3493266102
201	0.3480576953
202	0.3466089449
203	0.3445110819
204	0.3426292473
205	0.3415721492
206	0.3400236881
207	0.3382888858
208	0.3369754572
209	0.3355737202
210	0.3342903555
211	0.3327350804
212	0.3306597823
213	0.3293986744
214	0.3275787482
215	0.3259819726
216	0.3247388414
217	0.323797616
218	0.3223448594
219	0.321299917
220	0.3194529743
221	0.3183560194
222	0.316599782
223	0.3152014006
224	0.3135057703
225	0.3119268688
226	0.3110206379
227	0.3094285192
228	0.3079220722
229	0.30705991
230	0.3059560725
231	0.305056416
232	0.3038163323
233	0.3023662123
234	0.3007947068
235	0.2995867415
236	0.298491704
237	0.2971137305
238	0.2960253016
239	0.2948717799
240	0.2941118623
241	0.2926030527
242	0.2916966849
243	0.2905334045
244	0.2891163274
245	0.2879279138
246	0.2864000831
247	0.2851267853
248	0.2838699405
249	0.2828957235
250	0.2819397743
251	0.280792125
252	0.2797527468
253	0.2783841041
254	0.2771905201
255	0.2757735799
256	0.2744807988
257	0.2732111991
258	0.2720334004
259	0.2706204493
260	0.2692247388
261	0.2681134709
262	0.2669471088
263	0.2658136697
264	0.2648924925
265	0.2640438042
266	0.2629056569
267	0.2619409419
268	0.261072582
269	0.2602157614
270	0.2591061543
